ep (ms);Acc_x;Acc_y;Acc_z;Gyro_x;Gyro_y;Gyro_z;ID;Label;Category;Set
2019-01-11 15:08:13.600;-0.10033333333333334;0.781;-0.13466666666666668;-990.814.211;-1.292.152.833;-332.684;B;bench;heavy;30
2019-01-11 15:08:13.800;-0.2;0.9005000000000001;-0.20450000000000002;21.439;-63.048;-40.976;B;bench;heavy;30
2019-01-11 15:08:14.000;-0.247;0.9169999999999999;-0.206;-318.414;-47.318;59.514;B;bench;heavy;30
2019-01-11 15:08:14.200;-0.269;12.325;-0.1185;633.118.724;-117.682;110.122;B;bench;heavy;30
2019-01-11 15:08:14.400;-0.24566666666666667;108.030.633;-0.07733333333333332;327.318;0.8049999999999999;-105.852;B;bench;heavy;30
2019-01-11 15:08:14.600;-0.1795;0.8614999999999999;-0.124;207.562;778.653.695;-24.024;B;bench;heavy;30
2019-01-11 15:08:14.800;-0.20633333333333334;0.9296666666666668;-0.23233333333333336;28.377.085;-37.682;2.118.713.345;B;bench;heavy;30
2019-01-11 15:08:15.000;-0.2615;0.9275;-0.2115;-1.663.213.563;-305.086.457;-410.517.500;B;bench;heavy;30
2019-01-11 15:08:15.200;-0.27;0.957;-0.25566666666666665;-62.072;-4.878;2.120.806.398;B;bench;heavy;30
2019-01-11 15:08:15.400;-0.1985;0.995;-0.22;-29.305;-31.586;270.976;B;bench;heavy;30
2019-01-11 15:08:15.600;-0.08800000000000001;0.789;-0.09666666666666668;-379.024;766.181.382;207.562;B;bench;heavy;30
2019-01-11 15:08:15.800;-0.0165;0.8540000000000001;-0.009500000000000001;162.926;-35.488;-1.664.565.245;B;bench;heavy;30
2019-01-11 15:08:16.000;-0.03133333333333333;0.9926666666666667;-0.06466666666666666;1.080.360.957;10.732;-10.364;B;bench;heavy;30
2019-01-11 15:08:16.200;-0.05;0.9929999999999999;-0.0165;-0.4511999999999997;-26.586;22.194;B;bench;heavy;30
2019-01-11 15:08:16.400;-0.037;0.9833333333333334;-0.015333333333333332;-48.048;-0.3902;-13.782;B;bench;heavy;30
2019-01-11 15:08:16.600;-0.026000000000000002;0.948;-0.0009999999999999992;90.242;-0.9879999999999995;-2.061;B;bench;heavy;30
2019-01-11 15:08:16.800;-0.05566666666666667;0.9916666666666666;-0.04033333333333333;0.7804;-4.683;36.098;B;bench;heavy;30
2019-01-11 15:08:17.000;-0.0475;0.955;-0.0455;45.242;-29.756;-27.682;B;bench;heavy;30
2019-01-11 15:08:17.200;-0.056;0.9826666666666667;-0.04633333333333334;-20.122;0.5;-0.5365999999999999;B;bench;heavy;30
2019-01-11 15:08:17.400;-0.0635;0.9339999999999999;-0.049;78.658;33.414;574.562.309;B;bench;heavy;30
2019-01-11 15:08:17.600;-0.06966666666666667;0.758;-0.09600000000000002;-633.118.724;8.561;-27.549;B;bench;heavy;30
2019-01-11 15:08:17.800;-0.1585;0.88;-0.192;215.976;19.756;133.804.030;B;bench;heavy;30
2019-01-11 15:08:18.000;-0.211;0.9313333333333333;-0.21666666666666667;-66.952;-5.122;110.974;B;bench;heavy;30
2019-01-11 15:08:18.200;-0.20700000000000002;10.265;-0.087;-444.024;-123.048;76.218;B;bench;heavy;30
2019-01-11 15:08:18.400;-0.27799999999999997;-136.391.339;-0.08533333333333333;262.194;-314.433.531;-208.172;B;bench;heavy;30
2019-01-11 15:08:18.600;-0.225;0.8245;-0.1185;147.196;-165.122;-110.732;B;bench;heavy;30
2019-01-11 15:08:18.800;-0.2683333333333333;0.8936666666666667;-0.16866666666666666;-478.773.241;-1.330.044.922;-63.416;B;bench;heavy;30
2019-01-11 15:08:19.000;-0.26949999999999996;0.92;-0.16649999999999998;12.317;39.268;198.904;B;bench;heavy;30
2019-01-11 15:08:19.200;-0.25633333333333336;0.9653333333333333;-0.18866666666666668;697.122.811;-11.218;63.902;B;bench;heavy;30
2019-01-11 15:08:19.400;-0.191;383.496.191;-0.174;-185.854;-1.321.062.402;-1.143.889.916;B;bench;heavy;30
2019-01-11 15:08:19.600;-0.08866666666666667;0.7876666666666666;-0.09633333333333334;-300.122;60.732;220.246;B;bench;heavy;30
2019-01-11 15:08:19.800;-0.019;0.865;-0.015;201.832;-27.318;622.477.314;B;bench;heavy;30
2019-01-11 15:08:20.000;-0.06233333333333333;-1.612.739.925;-0.059666666666666666;-41.096;-0.10959999999999973;0.5121999999999998;B;bench;heavy;30
2019-01-11 15:08:20.200;-0.054;0.9815;-0.078;38.536;-39.756;4.634;B;bench;heavy;30
2019-01-11 15:08:20.400;-0.03866666666666667;0.9563333333333333;-0.059;-1.023.901.698;1.214.971.905;0.1951999999999999;B;bench;heavy;30
2019-01-11 15:08:20.600;-0.0375;0.9874999999999999;-0.051500000000000004;18.046;-927.563.773;-0.06099999999999994;B;bench;heavy;30
2019-01-11 15:08:20.800;-0.044000000000000004;0.9686666666666666;-0.06266666666666666;2.134.245.373;-29.632;-0.8536000000000001;B;bench;heavy;30
2019-01-11 15:08:21.000;-0.045;0.9815;-0.052500000000000005;-0.12179999999999983;-34.512;1.866;B;bench;heavy;30
2019-01-11 15:08:21.200;-0.04533333333333334;0.9586666666666667;-0.062;0.20739999999999995;-34.512;-0.7071999999999999;B;bench;heavy;30
2019-01-11 15:08:21.400;-0.051;0.979;-0.0605;15.732;-20.366;0.317;B;bench;heavy;30
2019-01-11 15:08:21.600;-0.050333333333333334;0.976;-0.056666666666666664;0.20760000000000006;-2.866;0.9756;B;bench;heavy;30
2019-01-11 15:08:21.800;-0.034;0.9365;-0.056;55.122;-2.378;0.39039999999999997;B;bench;heavy;30
2019-01-11 15:08:22.000;-0.052333333333333336;0.9803333333333333;-0.08600000000000001;-18.782;1.147.265.025;0.15839999999999987;B;bench;heavy;30
2019-01-11 15:10:08.400;0.0036666666666666666;0.9663333333333334;-0.081;18.412;-47.806;-25.608;A;bench;heavy;86
2019-01-11 15:10:08.600;-0.0125;0.9624999999999999;-0.089;2.195;-21.096;-28.538;A;bench;heavy;86
;-0.028;0.867;-0.125;-1.079.988.223;390.979.587;-111.828;A;bench;heavy;86
2019-01-11 15:10:09.000;-0.062;0.873;-0.15500000000000003;165.608;-44.268;-130.368;A;bench;heavy;86
2019-01-11 15:10:09.200;-0.09666666666666666;0.9043333333333333;-0.169;76.952;-118.538;1.443.512.325;A;bench;heavy;86
2019-01-11 15:10:09.400;-0.11549999999999999;0.963;-0.1765;-15.486;-139.268;79.756;A;bench;heavy;86
2019-01-11 15:10:09.600;-0.10433333333333333;1.11;-0.14033333333333334;-103.658;-129.512;12.634;A;bench;heavy;86
2019-01-11 15:10:09.800;-0.1565;1.323;-0.139;-44.878;83.172;-204.146;A;bench;heavy;86
2019-01-11 15:10:10.000;-0.152;0.9333333333333332;-0.13033333333333333;61.708;99.268;-8.256;A;bench;heavy;86
2019-01-11 15:10:10.200;-0.158;0.9430000000000001;-0.1205;16.098;29.514;27.194;A;bench;heavy;86
2019-01-11 15:10:10.400;-0.131;0.9506666666666667;-0.14966666666666667;-24.024;-0.7804;10.5;A;bench;heavy;86
2019-01-11 15:10:10.600;-0.0995;0.9524999999999999;-0.1195;-89.388;-0.28060000000000007;221.584;A;bench;heavy;86
2019-01-11 15:10:10.800;-0.027333333333333334;0.848;-0.11433333333333333;-9.195;70.854;220.854;A;bench;heavy;86
2019-01-11 15:10:11.000;0.018000000000000002;0.925;-0.11699999999999999;92.436;-78.782;1.759.297.541;A;bench;heavy;86
2019-01-11 15:10:11.200;0.007666666666666666;0.9546666666666667;-0.127;52.438;-4.122;-5.195;A;bench;heavy;86
2019-01-11 15:10:11.400;-0.0075;0.8915;-0.1545;10.5;-34.024;-118.416;A;bench;heavy;86
2019-01-11 15:10:11.600;-0.06033333333333333;0.8276666666666667;-0.18666666666666668;177.804;-51.462;-145.244;A;bench;heavy;86
2019-01-11 15:10:11.800;-0.111;0.895;-0.215;90.852;-78.658;-40.244;A;bench;heavy;86
2019-01-11 15:10:12.000;-0.11466666666666665;0.9226666666666666;-0.19966666666666666;-92.928;-190.854;114.512;A;bench;heavy;86
2019-01-11 15:10:12.200;-0.1015;1.325;-0.16399999999999998;-49.756;-59.512;38.902;A;bench;heavy;86
2019-01-11 15:10:12.400;-0.147;1.358.064.299;-0.16;411.869.177;-1.449.136.126;-28.756;A;bench;heavy;86
2019-01-11 15:10:12.600;-0.1805;0.902;-0.20350000000000001;99.876;38.414;-278.061.059;A;bench;heavy;86
2019-01-11 15:10:12.800;-0.19200000000000003;0.9183333333333333;-0.2333333333333333;-25.368;-10.732;37.682;A;bench;heavy;86
2019-01-11 15:10:13.000;-0.16849999999999998;0.949;-0.21000000000000002;-105.364;-1.122;121.098;A;bench;heavy;86
2019-01-11 15:10:13.200;-0.11433333333333333;0.9716666666666667;-0.154;-1.921.916.925;9.183;27.683;A;bench;heavy;86
2019-01-11 15:10:13.400;-0.013;0.7955;-0.10899999999999999;-65.486;-58.064.901;-1.592.578.050;A;bench;heavy;86
2019-01-11 15:10:13.600;0.006000000000000001;0.9279999999999999;-0.08433333333333333;230.526.977;-9.317;-4.061;A;bench;heavy;86
2019-01-11 15:10:13.800;-0.0185;0.9615;-0.0915;48.172;105.431.043;1.148.067.842;A;bench;heavy;86
2019-01-11 15:10:14.000;-0.02466666666666667;0.9603333333333333;-0.11399999999999999;4.89;-2.622;-1.129.881.597;A;bench;heavy;86
2019-01-11 15:10:14.200;-0.040999999999999995;0.8400000000000001;-0.15250000000000002;12.073;-71.952;-121.098;A;bench;heavy;86
2019-01-11 15:10:14.400;-0.09066666666666667;0.8456666666666667;-0.207;1.611.853.826;-67.928;-190.854;A;bench;heavy;86
2019-01-11 15:10:14.600;-0.1355;0.8714999999999999;-0.2155;70.122;209.256.443;-20.488;A;bench;heavy;86
2019-01-11 15:10:14.800;-0.13833333333333334;0.9396666666666667;-0.157;-34.878;-154.268;171.342;A;bench;heavy;86
2019-01-11 15:10:15.000;-0.16649999999999998;1.423;-0.14500000000000002;-127.924;0.2562000000000005;-8.0;A;bench;heavy;86
