ep (ms),Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,ID,Exercise,Category,Set,Acc_x_normalized,Acc_y_normalized,Acc_z_normalized,Gyro_x_normalized,Gyro_y_normalized,Gyro_z_normalized,Acc_x_normalized_discretized,Acc_y_normalized_discretized,Acc_z_normalized_discretized,Gyro_x_normalized_discretized,Gyro_y_normalized_discretized,Gyro_z_normalized_discretized
2019-01-11 15:08:05.200,0.0135,0.977,-0.071,-1.8904,2.4392,0.9388,B,bench,heavy,30.0,0.09014009719163482,0.7918694082561607,0.32867132867132853,0.5735753783426281,0.452089404237697,0.49655336265217714,0.10714285714285714,0.8214285714285714,0.3214285714285714,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:05.400,-0.0015,0.9705,-0.0795,-1.6826,-0.8904,2.1708,B,bench,heavy,30.0,0.09013996071272651,0.789828912258672,0.3235764235764234,0.574085530818807,0.444183139634283,0.4966161396832151,0.10714285714285714,0.8214285714285714,0.3214285714285714,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:05.600,0.001333333333333,0.971666666666667,-0.064333333333333,2.5608,-0.256,-1.4146,B,bench,heavy,30.0,0.09013998649207587,0.7901951551300164,0.33266733266733267,0.584503148804456,0.4456895470899551,0.49643344425538755,0.10714285714285714,0.8214285714285714,0.3214285714285714,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:05.800,-0.024,0.957,-0.0735,8.061,-4.5244,-2.073,B,bench,heavy,30.0,0.09013975599436405,0.7855909590331187,0.32717282717282703,0.5980062318144637,0.43555406540049924,0.4963998952316575,0.10714285714285714,0.75,0.3214285714285714,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:06.000,-0.028,0.957666666666666,-0.115,2.439,-1.5486,-3.6098,B,bench,heavy,30.0,0.0901397195999885,0.7858002406738867,0.30229770229770214,0.5842041277669267,0.44262021815363456,0.49632158700008355,0.10714285714285714,0.8214285714285714,0.3214285714285714,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:06.200,-0.026,0.965,-0.118,0.4634,5.2194,-6.4636,B,bench,heavy,30.0,0.09013973779717628,0.7881023387223355,0.30049950049950036,0.5793539967181337,0.4586910971889259,0.49617617052997304,0.10714285714285714,0.8214285714285714,0.3214285714285714,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:06.400,-0.048666666666667,0.79,-0.145333333333333,21.695,8.1708,-28.2196,B,bench,heavy,30.0,0.09013953156238148,0.7331659080207189,0.2841158841158842,0.6314779298906142,0.4656993111937662,0.4950675852318706,0.10714285714285714,0.75,0.25,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:06.600,-0.17,0.8995,-0.25,17.5246,1.5976,-17.5854,B,bench,heavy,30.0,0.0901384275996565,0.7675404175168734,0.2213786213786212,0.6212395281261447,0.4500909923292896,0.4956094549587083,0.10714285714285714,0.75,0.25,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:06.800,-0.222666666666667,0.907,-0.204333333333333,-7.2318,-1.3536,-0.4026,B,bench,heavy,30.0,0.09013794840704509,0.769894835975514,0.24875124875124877,0.5604621519891037,0.44308325323222225,0.49648501110231164,0.10714285714285714,0.75,0.25,0.5357142857142857,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:07.000,-0.2045,0.93,-0.149,-28.683,-10.2076,20.5732,B,bench,heavy,30.0,0.09013811369816738,0.7771150525820123,0.2819180819180817,0.5077990971430479,0.42205908612547444,0.4975538410111155,0.10714285714285714,0.75,0.25,0.5357142857142857,0.3928571428571428,0.4642857142857143
2019-01-11 15:08:07.200,-0.205,1.40466666666667,-0.095,-4.1098,-9.3172,-3.3412,B,bench,heavy,30.0,0.09013810914887044,0.9261235808088746,0.3142857142857141,0.5681267142154307,0.42417337553047196,0.49633527361577895,0.10714285714285714,0.8928571428571428,0.3214285714285714,0.5357142857142857,0.3928571428571428,0.4642857142857143
2019-01-11 15:08:07.400,-0.1635,0.996,-0.113,35.5488,11.5732,-17.2074,B,bench,heavy,30.0,0.09013848674051676,0.7978339350180506,0.3034965034965033,0.6654892406436859,0.4737784422265196,0.49562871609323134,0.10714285714285714,0.8214285714285714,0.3214285714285714,0.6785714285714285,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:07.600,-0.220666666666667,0.904,-0.208333333333333,4.8902,-0.2804,-0.134,B,bench,heavy,30.0,0.09013796660423287,0.7689530685920577,0.24635364635364634,0.5902218647717865,0.44563160834166005,0.4964986977180071,0.10714285714285714,0.75,0.25,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:07.800,-0.222,0.9465,-0.221,-1.061,-2.183,11.3536,B,bench,heavy,30.0,0.09013795447277435,0.7822947731910218,0.2387612387612386,0.5756115692172327,0.44111381069796246,0.49708405276813034,0.10714285714285714,0.75,0.25,0.6071428571428571,0.4642857142857143,0.4642857142857143
2019-01-11 15:08:08.000,-0.184333333333333,0.991333333333333,-0.190666666666667,-28.4268,-13.0854,25.2684,B,bench,heavy,30.0,0.09013829718647745,0.796368963532674,0.2569430569430566,0.5084280724288855,0.4152256381810652,0.4977930867222596,0.10714285714285714,0.8214285714285714,0.25,0.5357142857142857,0.3928571428571428,0.4642857142857143
,,0.762,,,,22.8052,B,bench,,,,0.7243760791084602,,,,0.4976675734244895,0.9642857142857142,0.75,0.9642857142857142,0.9642857142857142,0.9642857142857142,0.4642857142857143
